"","unix","app","event","rEvent","time","duration","rDuration"
"379",1571207613411,"Chrome",2,"Move to background",2019-10-16 06:33:33,0.035,0S
"405",1571207824209,"System UI",11,"Standby bucket changed",2019-10-16 06:37:04,0,0S
"424",1571209583669,"System UI",11,"Standby bucket changed",2019-10-16 07:06:23,0,0S
"434",1571209584521,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"470",1571209584531,"FQC",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"478",1571209584535,"AutoRegistration",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"490",1571209584536,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"493",1571209584537,"Maps",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"503",1571209584541,"Google Play services",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"504",1571209584542,"Carrier Services",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"522",1571209584548,"CustManager",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"523",1571209584548,"Settings",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"530",1571209584549,"LocationServices",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"535",1571209584549,"Phone Services",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"536",1571209584549,"Shell",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"542",1571209584549,"QMMI",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"543",1571209584549,"Fused Location",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"544",1571209584549,"ConfDialer",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"547",1571209584549,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"551",1571209584550,"Bluetooth",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"556",1571209584554,"Android Setup",11,"Standby bucket changed",2019-10-16 07:06:24,0,0S
"557",1571209584609,"Settings",1,"Move to foreground",2019-10-16 07:06:24,0.056,0S
"559",1571209584665,"Settings",2,"Move to background",2019-10-16 07:06:24,14.228,14S
"563",1571209598893,"Settings",1,"Move to foreground",2019-10-16 07:06:38,1.418,1S
"565",1571209599658,"System UI",12,"Notifiation interuption",2019-10-16 07:06:39,0,0S
"566",1571209600311,"Settings",2,"Move to background",2019-10-16 07:06:40,0.22,0S
"568",1571209601130,"Google",11,"Standby bucket changed",2019-10-16 07:06:41,0,0S
"572",1571209601145,"Print Spooler",11,"Standby bucket changed",2019-10-16 07:06:41,0,0S
"590",1571209747834,"WhatsApp",11,"Standby bucket changed",2019-10-16 07:09:07,0,0S
"608",1571210183691,"System UI",11,"Standby bucket changed",2019-10-16 07:16:23,0,0S
"614",1571210206292,"Google",11,"Standby bucket changed",2019-10-16 07:16:46,0,0S
"617",1571210206299,"Print Spooler",11,"Standby bucket changed",2019-10-16 07:16:46,0,0S
"635",1571212725159,"Google",11,"Standby bucket changed",2019-10-16 07:58:45,0,0S
"673",1571213109598,"Chrome",11,"Standby bucket changed",2019-10-16 08:05:09,0,0S
"674",1571213109600,"Chrome",1,"Move to foreground",2019-10-16 08:05:09,39.762,40S
"677",1571213149473,"Chrome",2,"Move to background",2019-10-16 08:05:49,0.496,0S
"678",1571213149969,"Chrome",1,"Move to foreground",2019-10-16 08:05:49,0.005,0S
"679",1571213149974,"Chrome",2,"Move to background",2019-10-16 08:05:49,150.897,2M 31S
"682",1571213303780,"Chrome",1,"Move to foreground",2019-10-16 08:08:23,12.709,13S
"684",1571213316489,"Chrome",2,"Move to background",2019-10-16 08:08:36,0.034,0S
"718",1571214449453,"Google",11,"Standby bucket changed",2019-10-16 08:27:29,0,0S
"751",1571215349408,"Google",11,"Standby bucket changed",2019-10-16 08:42:29,0,0S
"765",1571215365977,"Settings",1,"Move to foreground",2019-10-16 08:42:45,0.004,0S
"766",1571215365981,"Settings",2,"Move to background",2019-10-16 08:42:45,0.386,0S
"767",1571215366367,"Settings",1,"Move to foreground",2019-10-16 08:42:46,1.094,1S
"769",1571215367461,"Settings",2,"Move to background",2019-10-16 08:42:47,0.019,0S
"774",1571215370444,"WhatsApp",1,"Move to foreground",2019-10-16 08:42:50,0.121,0S
"775",1571215370565,"WhatsApp",2,"Move to background",2019-10-16 08:42:50,0.031,0S
"776",1571215370596,"WhatsApp",1,"Move to foreground",2019-10-16 08:42:50,4.197,4S
"777",1571215374793,"WhatsApp",2,"Move to background",2019-10-16 08:42:54,0.051,0S
"778",1571215374844,"WhatsApp",1,"Move to foreground",2019-10-16 08:42:54,14.454,14S
"780",1571215389298,"WhatsApp",2,"Move to background",2019-10-16 08:43:09,0.021,0S
"781",1571215389319,"WhatsApp",1,"Move to foreground",2019-10-16 08:43:09,1.167,1S
"782",1571215390486,"WhatsApp",2,"Move to background",2019-10-16 08:43:10,0.023,0S
"786",1571215744431,"WhatsApp",12,"Notifiation interuption",2019-10-16 08:49:04,0,0S
"787",1571215744438,"WhatsApp",12,"Notifiation interuption",2019-10-16 08:49:04,0,0S
"788",1571215744731,"WhatsApp",10,"Notification seen",2019-10-16 08:49:04,0.818,1S
"789",1571215745549,"WhatsApp",10,"Notification seen",2019-10-16 08:49:05,624.156,10M 24S
"791",1571215990596,"Google",11,"Standby bucket changed",2019-10-16 08:53:10,0,0S
"796",1571216369772,"Google",11,"Standby bucket changed",2019-10-16 08:59:29,0,0S
"809",1571216377820,"WhatsApp",1,"Move to foreground",2019-10-16 08:59:37,0.038,0S
"810",1571216377858,"WhatsApp",2,"Move to background",2019-10-16 08:59:37,0.016,0S
"811",1571216377874,"WhatsApp",1,"Move to foreground",2019-10-16 08:59:37,0.906,1S
"812",1571216378780,"WhatsApp",2,"Move to background",2019-10-16 08:59:38,0.006,0S
"813",1571216378786,"WhatsApp",1,"Move to foreground",2019-10-16 08:59:38,14.509,15S
"819",1571216394869,"WhatsApp",2,"Move to background",2019-10-16 08:59:54,0.397,0S
"820",1571216395266,"WhatsApp",1,"Move to foreground",2019-10-16 08:59:55,0.009,0S
"821",1571216395275,"WhatsApp",2,"Move to background",2019-10-16 08:59:55,66.488,1M 6S
"824",1571216462250,"WhatsApp",2,"Move to background",2019-10-16 09:01:02,0.006,0S
"825",1571216462256,"WhatsApp",1,"Move to foreground",2019-10-16 09:01:02,5.009,5S
"826",1571216467265,"WhatsApp",1,"Move to foreground",2019-10-16 09:01:07,1.601,2S
"828",1571216468866,"WhatsApp",2,"Move to background",2019-10-16 09:01:08,0.015,0S
"831",1571216469063,"Chrome",1,"Move to foreground",2019-10-16 09:01:09,0.827,1S
"832",1571216469890,"Chrome",2,"Move to background",2019-10-16 09:01:09,0.04,0S
"840",1571216482870,"Settings",1,"Move to foreground",2019-10-16 09:01:22,2.077,2S
"841",1571216484947,"Settings",2,"Move to background",2019-10-16 09:01:24,0.019,0S
"844",1571216785164,"System UI",11,"Standby bucket changed",2019-10-16 09:06:25,0,0S
"911",1571217385168,"System UI",11,"Standby bucket changed",2019-10-16 09:16:25,0,0S
"920",1571217752715,"Google",11,"Standby bucket changed",2019-10-16 09:22:32,0,0S
"922",1571217829045,"WhatsApp",12,"Notifiation interuption",2019-10-16 09:23:49,0,0S
"923",1571217829716,"WhatsApp",12,"Notifiation interuption",2019-10-16 09:23:49,0,0S
"924",1571217829725,"WhatsApp",12,"Notifiation interuption",2019-10-16 09:23:49,0,0S
"930",1571217832719,"WhatsApp",10,"Notification seen",2019-10-16 09:23:52,0,0S
"974",1571219523039,"Google",11,"Standby bucket changed",2019-10-16 09:52:03,0,0S
"980",1571219540769,"Settings",1,"Move to foreground",2019-10-16 09:52:20,3.195,3S
"981",1571219543964,"Settings",2,"Move to background",2019-10-16 09:52:23,0.014,0S
"984",1571219545109,"Settings",1,"Move to foreground",2019-10-16 09:52:25,3.435,3S
"985",1571219548544,"Settings",2,"Move to background",2019-10-16 09:52:28,0.012,0S
"986",1571219548556,"Settings",1,"Move to foreground",2019-10-16 09:52:28,1.508,2S
"987",1571219550064,"Settings",2,"Move to background",2019-10-16 09:52:30,0.011,0S
"988",1571219550075,"Settings",1,"Move to foreground",2019-10-16 09:52:30,0.782,1S
"989",1571219550857,"Settings",2,"Move to background",2019-10-16 09:52:30,0.014,0S
"1018",1571220048071,"Settings",1,"Move to foreground",2019-10-16 10:00:48,2.894,3S
"1019",1571220050965,"Settings",2,"Move to background",2019-10-16 10:00:50,0.014,0S
"1022",1571220052191,"Settings",1,"Move to foreground",2019-10-16 10:00:52,2.798,3S
"1023",1571220054989,"Settings",2,"Move to background",2019-10-16 10:00:54,0.014,0S
"1024",1571220055003,"Settings",1,"Move to foreground",2019-10-16 10:00:55,1.396,1S
"1025",1571220056399,"Settings",2,"Move to background",2019-10-16 10:00:56,0.019,0S
"1026",1571220056418,"Settings",1,"Move to foreground",2019-10-16 10:00:56,0.722,1S
"1027",1571220057140,"Settings",2,"Move to background",2019-10-16 10:00:57,0.011,0S
"1049",1571220185917,"Settings",1,"Move to foreground",2019-10-16 10:03:05,2.585,3S
"1050",1571220188502,"Settings",2,"Move to background",2019-10-16 10:03:08,0.014,0S
"1053",1571220189526,"Settings",1,"Move to foreground",2019-10-16 10:03:09,2.058,2S
"1054",1571220191584,"Settings",2,"Move to background",2019-10-16 10:03:11,0.011,0S
"1055",1571220191595,"Settings",1,"Move to foreground",2019-10-16 10:03:11,1.306,1S
"1056",1571220192901,"Settings",2,"Move to background",2019-10-16 10:03:12,0.01,0S
"1057",1571220192911,"Settings",1,"Move to foreground",2019-10-16 10:03:12,0.773,1S
"1058",1571220193684,"Settings",2,"Move to background",2019-10-16 10:03:13,0.014,0S
"1080",1571220404121,"Settings",1,"Move to foreground",2019-10-16 10:06:44,3.548,4S
"1081",1571220407669,"Settings",2,"Move to background",2019-10-16 10:06:47,0.018,0S
"1084",1571220408986,"Settings",1,"Move to foreground",2019-10-16 10:06:48,1.651,2S
"1085",1571220410637,"Settings",2,"Move to background",2019-10-16 10:06:50,0.024,0S
"1086",1571220410661,"Settings",1,"Move to foreground",2019-10-16 10:06:50,1.547,2S
"1087",1571220412208,"Settings",2,"Move to background",2019-10-16 10:06:52,0.011,0S
"1088",1571220412219,"Settings",1,"Move to foreground",2019-10-16 10:06:52,0.962,1S
"1089",1571220413181,"Settings",2,"Move to background",2019-10-16 10:06:53,0.012,0S
"1114",1571220647398,"Settings",1,"Move to foreground",2019-10-16 10:10:47,2.351,2S
"1115",1571220649749,"Settings",2,"Move to background",2019-10-16 10:10:49,0.017,0S
"1118",1571220650925,"Settings",1,"Move to foreground",2019-10-16 10:10:50,2.092,2S
"1119",1571220653017,"Settings",2,"Move to background",2019-10-16 10:10:53,0.012,0S
"1120",1571220653029,"Settings",1,"Move to foreground",2019-10-16 10:10:53,2.157,2S
"1121",1571220655186,"Settings",2,"Move to background",2019-10-16 10:10:55,0.01,0S
"1122",1571220655196,"Settings",1,"Move to foreground",2019-10-16 10:10:55,1.049,1S
"1123",1571220656245,"Settings",2,"Move to background",2019-10-16 10:10:56,0.014,0S
"1147",1571221233360,"Settings",1,"Move to foreground",2019-10-16 10:20:33,2.42,2S
"1148",1571221235780,"Settings",2,"Move to background",2019-10-16 10:20:35,0.013,0S
"1151",1571221236889,"Settings",1,"Move to foreground",2019-10-16 10:20:36,2.273,2S
"1152",1571221239162,"Settings",2,"Move to background",2019-10-16 10:20:39,0.031,0S
"1153",1571221239193,"Settings",1,"Move to foreground",2019-10-16 10:20:39,1.414,1S
"1154",1571221240607,"Settings",2,"Move to background",2019-10-16 10:20:40,0.014,0S
"1155",1571221240621,"Settings",1,"Move to foreground",2019-10-16 10:20:40,0.905,1S
"1156",1571221241526,"Settings",2,"Move to background",2019-10-16 10:20:41,0.011,0S
"1202",1571221648357,"Chrome",1,"Move to foreground",2019-10-16 10:27:28,22.244,22S
"1203",1571221670601,"Chrome",2,"Move to background",2019-10-16 10:27:50,0.048,0S
"1206",1571221671406,"Chrome",1,"Move to foreground",2019-10-16 10:27:51,22.909,23S
"1209",1571221796363,"Chrome",2,"Move to background",2019-10-16 10:29:56,0.044,0S
"1258",1571222572730,"Google",11,"Standby bucket changed",2019-10-16 10:42:52,0,0S
"1270",1571223212947,"Google",11,"Standby bucket changed",2019-10-16 10:53:32,0,0S
"1281",1571223221867,"Settings",1,"Move to foreground",2019-10-16 10:53:41,0.729,1S
"1282",1571223222596,"Settings",2,"Move to background",2019-10-16 10:53:42,0.01,0S
"1302",1571223332412,"Settings",1,"Move to foreground",2019-10-16 10:55:32,2.754,3S
"1303",1571223335166,"Settings",2,"Move to background",2019-10-16 10:55:35,0.016,0S
"1306",1571223336275,"Settings",1,"Move to foreground",2019-10-16 10:55:36,3.571,4S
"1307",1571223339846,"Settings",2,"Move to background",2019-10-16 10:55:39,0.034,0S
"1308",1571223339880,"Settings",1,"Move to foreground",2019-10-16 10:55:39,1.565,2S
"1309",1571223341445,"Settings",2,"Move to background",2019-10-16 10:55:41,0.012,0S
"1310",1571223341457,"Settings",1,"Move to foreground",2019-10-16 10:55:41,0.939,1S
"1311",1571223342396,"Settings",2,"Move to background",2019-10-16 10:55:42,0.029,0S
"1323",1571223376378,"System UI",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1333",1571223376707,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1366",1571223376712,"FQC",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1373",1571223376712,"AutoRegistration",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1385",1571223376712,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1388",1571223376712,"Maps",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1397",1571223376713,"Google Play services",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1398",1571223376713,"Carrier Services",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1416",1571223376713,"CustManager",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1417",1571223376713,"Settings",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1424",1571223376713,"LocationServices",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1429",1571223376714,"Phone Services",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1430",1571223376714,"Shell",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1436",1571223376714,"QMMI",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1437",1571223376714,"Fused Location",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1438",1571223376714,"ConfDialer",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1441",1571223376714,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1445",1571223376714,"Bluetooth",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1450",1571223376715,"Android Setup",11,"Standby bucket changed",2019-10-16 10:56:16,0,0S
"1451",1571223376827,"Settings",1,"Move to foreground",2019-10-16 10:56:16,0.321,0S
"1454",1571223377148,"Settings",2,"Move to background",2019-10-16 10:56:17,2.093,2S
"1460",1571223385058,"Settings",1,"Move to foreground",2019-10-16 10:56:25,0.002,0S
"1461",1571223385060,"Settings",2,"Move to background",2019-10-16 10:56:25,9.803,10S
"1463",1571223395439,"Settings",1,"Move to foreground",2019-10-16 10:56:35,1.452,1S
"1465",1571223397282,"Settings",2,"Move to background",2019-10-16 10:56:37,0.008,0S
"1466",1571223397290,"Settings",1,"Move to foreground",2019-10-16 10:56:37,2.581,3S
"1467",1571223399871,"Settings",1,"Move to foreground",2019-10-16 10:56:39,1.459,1S
"1469",1571223400576,"System UI",12,"Notifiation interuption",2019-10-16 10:56:40,0,0S
"1470",1571223401330,"Settings",2,"Move to background",2019-10-16 10:56:41,0.338,0S
"1472",1571223402680,"Google",11,"Standby bucket changed",2019-10-16 10:56:42,0,0S
"1476",1571223402721,"Print Spooler",11,"Standby bucket changed",2019-10-16 10:56:42,0,0S
"1495",1571223542973,"WhatsApp",11,"Standby bucket changed",2019-10-16 10:59:02,0,0S
"1531",1571223593643,"Settings",1,"Move to foreground",2019-10-16 10:59:53,3.054,3S
"1532",1571223596697,"Settings",2,"Move to background",2019-10-16 10:59:56,0.014,0S
"1533",1571223596711,"Settings",1,"Move to foreground",2019-10-16 10:59:56,1.501,2S
"1534",1571223598212,"Settings",2,"Move to background",2019-10-16 10:59:58,0.01,0S
"1535",1571223598222,"Settings",1,"Move to foreground",2019-10-16 10:59:58,0.987,1S
"1536",1571223599209,"Settings",2,"Move to background",2019-10-16 10:59:59,0.016,0S
"1562",1571223654605,"System UI",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1572",1571223654940,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1604",1571223654942,"FQC",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1611",1571223654942,"AutoRegistration",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1623",1571223654943,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1626",1571223654943,"Maps",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1635",1571223654943,"Google Play services",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1636",1571223654943,"Carrier Services",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1654",1571223654951,"CustManager",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1655",1571223654951,"Settings",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1662",1571223654951,"LocationServices",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1667",1571223654961,"Phone Services",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1668",1571223654961,"Shell",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1674",1571223654962,"QMMI",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1675",1571223654962,"Fused Location",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1676",1571223654962,"ConfDialer",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1679",1571223654962,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1683",1571223654962,"Bluetooth",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1688",1571223654962,"Android Setup",11,"Standby bucket changed",2019-10-16 11:00:54,0,0S
"1689",1571223655065,"Settings",1,"Move to foreground",2019-10-16 11:00:55,0.339,0S
"1692",1571223655404,"Settings",2,"Move to background",2019-10-16 11:00:55,2.056,2S
"1698",1571223663263,"Settings",1,"Move to foreground",2019-10-16 11:01:03,0.002,0S
"1699",1571223663265,"Settings",2,"Move to background",2019-10-16 11:01:03,10.956,11S
"1700",1571223674221,"Settings",1,"Move to foreground",2019-10-16 11:01:14,31.448,31S
"1702",1571223674910,"System UI",12,"Notifiation interuption",2019-10-16 11:01:14,0,0S
"1703",1571223676221,"Google",11,"Standby bucket changed",2019-10-16 11:01:16,0,0S
"1707",1571223676222,"Print Spooler",11,"Standby bucket changed",2019-10-16 11:01:16,0,0S
"1711",1571223679413,"Chrome",11,"Standby bucket changed",2019-10-16 11:01:19,0,0S
"1718",1571223705669,"Settings",2,"Move to background",2019-10-16 11:01:45,0.025,0S
"1756",1571223813132,"WhatsApp",11,"Standby bucket changed",2019-10-16 11:03:33,0,0S
"1784",1571224254615,"System UI",11,"Standby bucket changed",2019-10-16 11:10:54,0,0S
"1786",1571224276231,"Print Spooler",11,"Standby bucket changed",2019-10-16 11:11:16,0,0S
"1796",1571224506262,"Google",11,"Standby bucket changed",2019-10-16 11:15:06,0,0S
